ID,ant,alpha,beta,rho,elite,limit,distance
0,50,0,7,0.8,0.6,100,3371
1,50,0,7,0.8,0.6,100,3371
2,50,0,7,0.8,0.6,100,3346
3,50,0,7,0.8,0.6,100,3371
4,50,0,7,0.8,0.6,100,3371
5,50,0,7,0.8,0.6,100,3371
6,50,0,7,0.8,0.6,100,3371
7,50,0,7,0.8,0.6,100,3371
8,50,0,7,0.8,0.6,100,3346
9,50,0,7,0.8,0.6,100,3371
10,50,0,7,0.8,0.6,100,3371
11,50,0,7,0.8,0.6,100,3371
12,50,0,7,0.8,0.6,100,3371
13,50,0,7,0.8,0.6,100,3371
14,50,0,7,0.8,0.6,100,3336
15,50,0,7,0.8,0.6,100,3346
16,50,0,7,0.8,0.6,100,3371
17,50,0,7,0.8,0.6,100,3371
18,50,0,7,0.8,0.6,100,3346
19,50,0,7,0.8,0.6,100,3346
20,50,0,7,0.8,0.6,100,3371
21,50,0,7,0.8,0.6,100,3359
22,50,0,7,0.8,0.6,100,3346
23,50,0,7,0.8,0.6,100,3371
24,50,0,7,0.8,0.6,100,3371
25,50,0,7,0.8,0.6,100,3371
26,50,0,7,0.8,0.6,100,3371
27,50,0,7,0.8,0.6,100,3346
28,50,0,7,0.8,0.6,100,3371
29,50,0,7,0.8,0.6,100,3371
,50,0,7,0.8,0.6,100,3363
0,50,0,8,0.8,0.6,100,3371
1,50,0,8,0.8,0.6,100,3371
2,50,0,8,0.8,0.6,100,3371
3,50,0,8,0.8,0.6,100,3369
4,50,0,8,0.8,0.6,100,3346
5,50,0,8,0.8,0.6,100,3371
6,50,0,8,0.8,0.6,100,3371
7,50,0,8,0.8,0.6,100,3371
8,50,0,8,0.8,0.6,100,3371
9,50,0,8,0.8,0.6,100,3371
10,50,0,8,0.8,0.6,100,3371
11,50,0,8,0.8,0.6,100,3371
12,50,0,8,0.8,0.6,100,3346
13,50,0,8,0.8,0.6,100,3371
14,50,0,8,0.8,0.6,100,3359
15,50,0,8,0.8,0.6,100,3371
16,50,0,8,0.8,0.6,100,3371
17,50,0,8,0.8,0.6,100,3371
18,50,0,8,0.8,0.6,100,3371
19,50,0,8,0.8,0.6,100,3371
20,50,0,8,0.8,0.6,100,3371
21,50,0,8,0.8,0.6,100,3346
22,50,0,8,0.8,0.6,100,3371
23,50,0,8,0.8,0.6,100,3371
24,50,0,8,0.8,0.6,100,3371
25,50,0,8,0.8,0.6,100,3371
26,50,0,8,0.8,0.6,100,3336
27,50,0,8,0.8,0.6,100,3336
28,50,0,8,0.8,0.6,100,3371
29,50,0,8,0.8,0.6,100,3371
,50,0,8,0.8,0.6,100,3365
0,50,0,9,0.8,0.6,100,3371
1,50,0,9,0.8,0.6,100,3371
2,50,0,9,0.8,0.6,100,3369
3,50,0,9,0.8,0.6,100,3371
4,50,0,9,0.8,0.6,100,3359
5,50,0,9,0.8,0.6,100,3371
6,50,0,9,0.8,0.6,100,3371
7,50,0,9,0.8,0.6,100,3371
8,50,0,9,0.8,0.6,100,3371
9,50,0,9,0.8,0.6,100,3371
10,50,0,9,0.8,0.6,100,3371
11,50,0,9,0.8,0.6,100,3371
12,50,0,9,0.8,0.6,100,3371
13,50,0,9,0.8,0.6,100,3371
14,50,0,9,0.8,0.6,100,3371
15,50,0,9,0.8,0.6,100,3371
16,50,0,9,0.8,0.6,100,3371
17,50,0,9,0.8,0.6,100,3371
18,50,0,9,0.8,0.6,100,3371
19,50,0,9,0.8,0.6,100,3371
20,50,0,9,0.8,0.6,100,3371
21,50,0,9,0.8,0.6,100,3371
22,50,0,9,0.8,0.6,100,3371
23,50,0,9,0.8,0.6,100,3371
24,50,0,9,0.8,0.6,100,3371
25,50,0,9,0.8,0.6,100,3371
26,50,0,9,0.8,0.6,100,3371
27,50,0,9,0.8,0.6,100,3371
28,50,0,9,0.8,0.6,100,3371
29,50,0,9,0.8,0.6,100,3371
,50,0,9,0.8,0.6,100,3370
0,50,7,7,0.8,0.6,100,3346
1,50,7,7,0.8,0.6,100,3336
2,50,7,7,0.8,0.6,100,3369
3,50,7,7,0.8,0.6,100,3346
4,50,7,7,0.8,0.6,100,3371
5,50,7,7,0.8,0.6,100,3371
6,50,7,7,0.8,0.6,100,3371
7,50,7,7,0.8,0.6,100,3371
8,50,7,7,0.8,0.6,100,3371
9,50,7,7,0.8,0.6,100,3371
10,50,7,7,0.8,0.6,100,3336
11,50,7,7,0.8,0.6,100,3359
12,50,7,7,0.8,0.6,100,3371
13,50,7,7,0.8,0.6,100,3371
14,50,7,7,0.8,0.6,100,3371
15,50,7,7,0.8,0.6,100,3371
16,50,7,7,0.8,0.6,100,3369
17,50,7,7,0.8,0.6,100,3371
18,50,7,7,0.8,0.6,100,3346
19,50,7,7,0.8,0.6,100,3336
20,50,7,7,0.8,0.6,100,3346
21,50,7,7,0.8,0.6,100,3371
22,50,7,7,0.8,0.6,100,3371
23,50,7,7,0.8,0.6,100,3359
24,50,7,7,0.8,0.6,100,3371
25,50,7,7,0.8,0.6,100,3336
26,50,7,7,0.8,0.6,100,3336
27,50,7,7,0.8,0.6,100,3346
28,50,7,7,0.8,0.6,100,3371
29,50,7,7,0.8,0.6,100,3371
,50,7,7,0.8,0.6,100,3360
0,50,7,8,0.8,0.6,100,3371
1,50,7,8,0.8,0.6,100,3371
2,50,7,8,0.8,0.6,100,3369
3,50,7,8,0.8,0.6,100,3371
4,50,7,8,0.8,0.6,100,3371
5,50,7,8,0.8,0.6,100,3371
6,50,7,8,0.8,0.6,100,3371
7,50,7,8,0.8,0.6,100,3371
8,50,7,8,0.8,0.6,100,3371
9,50,7,8,0.8,0.6,100,3371
10,50,7,8,0.8,0.6,100,3371
11,50,7,8,0.8,0.6,100,3371
12,50,7,8,0.8,0.6,100,3336
13,50,7,8,0.8,0.6,100,3369
14,50,7,8,0.8,0.6,100,3346
15,50,7,8,0.8,0.6,100,3371
16,50,7,8,0.8,0.6,100,3371
17,50,7,8,0.8,0.6,100,3371
18,50,7,8,0.8,0.6,100,3371
19,50,7,8,0.8,0.6,100,3371
20,50,7,8,0.8,0.6,100,3371
21,50,7,8,0.8,0.6,100,3371
22,50,7,8,0.8,0.6,100,3371
23,50,7,8,0.8,0.6,100,3371
24,50,7,8,0.8,0.6,100,3371
25,50,7,8,0.8,0.6,100,3371
26,50,7,8,0.8,0.6,100,3371
27,50,7,8,0.8,0.6,100,3371
28,50,7,8,0.8,0.6,100,3371
29,50,7,8,0.8,0.6,100,3371
,50,7,8,0.8,0.6,100,3368
0,50,7,9,0.8,0.6,100,3371
1,50,7,9,0.8,0.6,100,3346
2,50,7,9,0.8,0.6,100,3371
3,50,7,9,0.8,0.6,100,3371
4,50,7,9,0.8,0.6,100,3371
5,50,7,9,0.8,0.6,100,3371
6,50,7,9,0.8,0.6,100,3371
7,50,7,9,0.8,0.6,100,3371
8,50,7,9,0.8,0.6,100,3371
9,50,7,9,0.8,0.6,100,3346
10,50,7,9,0.8,0.6,100,3371
11,50,7,9,0.8,0.6,100,3371
12,50,7,9,0.8,0.6,100,3371
13,50,7,9,0.8,0.6,100,3371
14,50,7,9,0.8,0.6,100,3371
15,50,7,9,0.8,0.6,100,3371
16,50,7,9,0.8,0.6,100,3371
17,50,7,9,0.8,0.6,100,3371
18,50,7,9,0.8,0.6,100,3371
19,50,7,9,0.8,0.6,100,3371
20,50,7,9,0.8,0.6,100,3371
21,50,7,9,0.8,0.6,100,3371
22,50,7,9,0.8,0.6,100,3371
23,50,7,9,0.8,0.6,100,3371
24,50,7,9,0.8,0.6,100,3371
25,50,7,9,0.8,0.6,100,3371
26,50,7,9,0.8,0.6,100,3371
27,50,7,9,0.8,0.6,100,3359
28,50,7,9,0.8,0.6,100,3371
29,50,7,9,0.8,0.6,100,3371
,50,7,9,0.8,0.6,100,3368
0,100,0,7,0.8,0.6,100,3369
1,100,0,7,0.8,0.6,100,3359
2,100,0,7,0.8,0.6,100,3346
3,100,0,7,0.8,0.6,100,3369
4,100,0,7,0.8,0.6,100,3359
5,100,0,7,0.8,0.6,100,3346
