distance,time
3336,217.647376
3336,217.811305
3336,215.822101
3323,214.249943
3336,218.329663
3336,206.282223
3323,210.755373
3336,203.623736
3336,202.054885
3336,215.679615
3323,-4074.172469
3336,217.837244
3323,217.286507
3323,219.961457
3336,204.592176
3336,208.888088
3323,217.715498
3336,203.642385
3336,216.469962
3336,213.766621
3323,201.401608
3336,219.801759
3323,217.271708
3336,202.77243
3323,219.950675
3323,206.73794
3323,214.296955
3336,217.275082
3323,217.819183
3336,202.281243
3323,-4070.170464
3323,200.410121
3336,207.522737
3336,204.507932
3336,220.973202
3336,211.361279
3336,219.347696
3323,215.876421
3323,206.932656
3323,218.455113
3336,216.094652
3336,206.835616
3336,216.452068
3336,209.119769
3323,225.028911
3323,198.884317
3336,216.477179
3323,215.689253
3323,210.703089
3336,211.718789
3336,213.253436
3336,-4080.753198
3323,224.197415
3336,210.447868
3323,215.650809
3336,215.317647
3336,216.502516
3336,202.450805
3336,229.101224
3336,205.460909
3323,234.528532
3336,212.373271
3323,209.380014
3336,211.882236
3323,196.381459
3346,216.136883
3323,207.778861
3323,218.101542
3336,211.150055
3323,240.606622
3336,208.843934
3336,-4093.289144
3336,219.492294
3323,217.673278
3336,217.571691
3323,217.056183
3323,207.942749
3336,219.829114
3336,217.907449
3336,219.430694
3336,205.834232
3336,214.885295
3323,214.330133
3336,211.331099
3323,211.226645
3323,217.639343
3323,222.261179
3323,217.866307
3323,215.29354
3336,219.694519
3323,-4074.424679
3336,212.569163
3323,215.877862
3336,222.753883
3323,223.247732
3336,220.455616
3336,249.330716
3323,222.444657
3336,222.454873
3323,229.529985
3336,206.067233
3323,233.762487
3336,231.263113
3323,219.794554
3323,228.049761
3323,231.858702
3336,215.054706
3323,267.232998
3323,272.91054
3336,-4011.824081
3336,297.265471
3336,250.714623
3336,283.346027
3336,279.824442
3323,231.5811
3336,290.540284
3323,290.984818
3336,279.284529
3323,273.662592
3336,292.144877
3323,286.216215
3336,275.163871
3336,372.274582
3336,439.073529
3336,-3828.449453
3336,482.074106
3336,337.787128
3336,343.094214
3336,366.692054
3323,336.510555
3323,365.356049
3336,366.543894
3336,238.236519
3336,232.290562
3336,226.622278
3346,213.088076
3323,220.156266
3336,-4075.367483
3336,219.465766
3323,222.429338
3336,206.606346
3336,222.847032
3336,201.496161
3336,208.391128
3323,203.854589
3323,224.518922
3336,211.273895
3323,201.517624
3336,209.945149
3336,217.006516
3336,201.879054
3323,209.989336
3323,192.609983
3323,201.429235
3336,215.263422
3336,217.398077
3336,185.555947
3323,202.382196
3323,-4100.706529
3323,194.695246
3336,188.494428
3323,197.878768
3336,201.895105
3336,198.042895
3336,195.270898
3336,197.948702
3323,210.380092
3336,209.662958
3323,199.905549
3336,197.475292
3323,191.339146
3336,204.174402
3323,201.205755
3336,198.634747
3336,200.529644
3336,225.587062
3336,195.178359
3323,187.648822
3336,195.54018
3336,-4090.693177
3323,207.055312
3336,193.135058
3323,198.688147
3323,194.812624
3323,202.787089
3336,194.983867
3336,198.146929
3323,197.517537
3336,193.721766
