distance,time
3346,7.655012
3359,7.766688
3336,7.638949
3336,7.617459
3371,7.646698
3336,8.530237
3346,7.992639
3371,11.208354
3369,14.486646
3323,14.24512
3336,11.698206
3369,14.574695
3359,14.642733
3346,11.47378
3336,17.807543
3371,12.860136
3323,23.423517
3336,20.335964
3346,17.821299
3323,18.76994
3323,23.756435
3371,23.240567
3369,23.300137
3346,22.723573
3336,21.038309
3346,17.853267
3359,24.062737
3323,21.00817
3336,21.025543
3346,17.818589
3336,24.207876
3336,24.070559
3346,20.936089
3346,17.865135
3346,23.585879
3346,23.50182
3346,22.12072
3336,24.628615
3346,15.044319
3336,23.303655
3369,23.539745
3336,24.08403
3336,22.862923
3346,20.932426
3336,26.39238
3336,23.296977
3371,23.926059
3369,19.800809
3359,20.969726
3346,17.930981
3323,27.258036
3371,21.065279
3346,27.227086
3336,24.152768
3336,24.065197
3346,17.817525
3359,21.506744
3369,23.403325
3323,23.338292
3346,23.01585
3346,22.923164
3336,23.865427
3369,23.799453
3359,21.538832
3346,11.415977
3336,14.388414
3336,14.45843
3371,11.00696
3336,14.239657
3346,11.243805
3346,14.098139
3346,14.467087
3336,11.231219
3369,14.688439
3346,14.705848
3346,14.67311
3346,20.630437
3346,24.997738
3336,24.622269
3346,24.208812
3346,11.540057
3369,22.272453
3346,23.760806
3336,23.767485
3359,26.729044
3346,33.503777
3371,21.328999
3346,24.079863
3346,21.01619
3371,29.51237
3346,24.050185
3346,25.217093
3336,35.688715
3336,23.352997
3336,23.822528
3346,23.392383
3323,30.578799
3371,24.144217
3346,27.326126
3336,28.925525
3369,25.201624
3346,23.336637
3369,23.946418
3359,29.001057
3359,31.904845
3336,-4271.595078
3346,23.199852
3336,36.655912
3371,20.718295
3336,17.804118
3359,31.125173
3371,23.305539
3346,23.353097
3336,39.192649
3346,23.124728
3346,26.630345
3336,34.142266
3336,23.331427
3336,24.219535
3336,22.572964
3371,28.704733
3336,31.707854
3369,37.782749
3336,23.74805
3323,23.937472
3346,23.491824
3359,26.228486
3369,34.525897
3359,26.146189
3359,24.073661
3346,33.550647
3346,23.329868
3346,23.368652
3346,28.60857
3336,18.300546
3336,37.003269
3336,23.382847
3371,30.1854
3336,30.271738
3323,23.487707
3359,37.263793
3371,23.312359
3359,23.906047
3336,23.236726
3346,29.200467
3359,20.935429
3346,30.296785
3369,26.634575
3336,23.507288
3346,23.319222
3346,23.375068
3323,36.078267
3346,23.911211
3336,30.461048
3346,29.889848
3336,23.279694
3369,25.22989
3323,30.604509
3369,29.380053
3359,23.233264
3371,32.560528
3336,27.211737
3359,25.883965
3336,24.232533
3346,25.467385
3336,30.428951
3336,17.846344
3346,34.002227
3371,23.543271
3371,24.114677
3346,27.204566
3336,27.213171
3346,28.517279
3336,23.244899
3336,25.443686
3371,23.366652
3336,29.659242
3336,30.390744
3346,23.8221
3336,30.68246
3359,24.082145
3336,29.949136
3371,23.430102
3371,23.512801
3346,25.825219
3369,30.308921
3346,20.988575
3346,30.20358
3371,23.952492
3369,37.911441
3346,23.320949
3369,24.906937
3371,25.583948
3346,23.688293
3346,23.338809
3346,26.936089
3346,20.038269
